L1_WSS,L2_WSS,L3_WSS,MEM_WSS,GFLOPS,PROXY_ACCESS_TIME,GFLOPS_RANKING,PROXY_ACCESS_RANKING
324.0, 65600.0, 0.0, 67174400.0, 1.8111700000000002, 5643569296.0, 302.0, 1.0, 
564.0, 65600.0, 0.0, 67174400.0, 1.6469880000000001, 5643570256.0, 364.0, 2.0, 
1044.0, 65600.0, 0.0, 67174400.0, 1.0548620000000002, 5643572176.0, 558.0, 3.0, 
2004.0, 65600.0, 0.0, 67174400.0, 1.0120069999999999, 5643576016.0, 600.0, 4.0, 
3924.0, 65600.0, 0.0, 67174400.0, 0.8948959999999999, 5643583696.0, 843.0, 5.0, 
7764.0, 65600.0, 0.0, 67174400.0, 0.8623709999999999, 5643599056.0, 945.0, 6.0, 
15444.0, 65600.0, 0.0, 67174400.0, 0.867871, 5643629776.0, 941.0, 7.0, 
30804.0, 65600.0, 0.0, 67174400.0, 0.866398, 5643691216.0, 942.0, 8.0, 
532.0, 98432.0, 0.0, 67174400.0, 1.902728, 5644029776.0, 295.0, 9.0, 
900.0, 98432.0, 0.0, 67174400.0, 2.162816, 5644031248.0, 290.0, 10.0, 
1636.0, 98432.0, 0.0, 67174400.0, 1.100462, 5644034192.0, 526.0, 11.0, 
3108.0, 98432.0, 0.0, 67174400.0, 1.055687, 5644040080.0, 555.0, 12.0, 
6052.0, 98432.0, 0.0, 67174400.0, 0.917607, 5644051856.0, 637.0, 13.0, 
11940.0, 98432.0, 0.0, 67174400.0, 0.878135, 5644075408.0, 917.0, 14.0, 
23716.0, 98432.0, 0.0, 67174400.0, 0.8714629999999999, 5644122512.0, 940.0, 15.0, 
28692.0, 98432.0, 0.0, 67174400.0, 0.8554930000000001, 5644142416.0, 946.0, 16.0, 
22564.0, 123136.0, 0.0, 67174400.0, 0.8729319999999999, 5644463760.0, 935.0, 17.0, 
948.0, 164096.0, 0.0, 67174400.0, 3.320979, 5644950736.0, 263.0, 18.0, 
1572.0, 164096.0, 0.0, 67174400.0, 3.2950739999999996, 5644953232.0, 264.0, 19.0, 
2820.0, 164096.0, 0.0, 67174400.0, 1.299652, 5644958224.0, 387.0, 20.0, 
5316.0, 164096.0, 0.0, 67174400.0, 1.030836, 5644968208.0, 581.0, 21.0, 
10308.0, 164096.0, 0.0, 67174400.0, 0.908435, 5644988176.0, 672.0, 22.0, 
20292.0, 164096.0, 0.0, 67174400.0, 0.88087, 5645028112.0, 908.0, 23.0, 
16388.0, 172176.0, 0.0, 67174400.0, 0.748708, 5645125616.0, 986.0, 24.0, 
8196.0, 184608.0, 0.0, 67174400.0, 0.8658049999999999, 5645266896.0, 944.0, 25.0, 
19524.0, 184832.0, 0.0, 67174400.0, 0.877415, 5645315344.0, 923.0, 26.0, 
4100.0, 240192.0, 0.0, 67174400.0, 0.872811, 5646028688.0, 936.0, 27.0, 
452.0, 98432.0, 0.0, 67239936.0, 2.236001, 5649534480.0, 285.0, 28.0, 
